Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Pob_Total_9_anios,38358,37726,37693,36896,36837,37264,37875,38151,37248,37270,37254,36940,34505,32494,29897,27243,25684,24056,22417,21285,20189,18972,17776,17291,16573,16087,15990,16012,15796,15363,15696,16450,16967,17196,18168,18667,18891,19271,20356,20652,20726,21000,21381,22202,21565,22086,21870,21320,20226,20762,20331
Pob_Total_10_anios,39037,38398,37817,37660,36909,36880,37312,37727,37997,37062,37079,37075,36771,34305,32346,29716,27067,25703,24072,22433,21277,20199,19003,17799,17322,16606,16118,16005,16145,15957,15505,15859,16685,17202,17315,18297,18748,18928,19275,20357,20693,20739,21091,21483,22245,21715,22152,21882,21637,20441,21027
Pob_Total_11_anios,37363,39092,38445,37907,37625,36913,36923,37173,37590,37843,36882,36882,36897,36599,34110,32204,29533,27078,25766,24090,22452,21271,20211,19039,17823,17354,16636,16159,16142,16264,16071,15685,16034,16871,17391,17375,18390,18789,18885,19295,20432,20759,20833,21186,21517,22388,21796,22142,22192,21871,20730
Pob_Total_12_anios,36481,37502,39137,38485,37999,37589,36926,36800,36991,37450,37689,36705,36690,36718,36426,33913,32061,29530,27134,25830,24107,22468,21260,20225,19075,17846,17386,16693,16278,16313,16416,16252,15898,16245,16989,17500,17466,18447,18762,18913,19365,20491,20864,20940,21271,21664,22428,21819,22452,22394,22133
Pob_Total_13_anios,35153,36532,37641,39186,38526,38092,37556,36785,36648,36811,37312,37535,36525,36501,36538,36259,33713,32072,29558,27188,25894,24125,22483,21251,20238,19110,17870,17435,16845,16451,16445,16601,16433,16084,16411,17110,17586,17566,18489,18804,18989,19453,20589,21025,21059,21461,21682,22494,22119,22714,22726
Pob_Total_14_anios,35447,35262,36587,37782,39237,38564,38188,37389,36617,36500,36628,37172,37380,36346,36308,36356,36085,33719,32121,29591,27243,25956,24141,22497,21244,20248,19143,17913,17593,16998,16602,16615,16781,16648,16236,16526,17119,17634,17559,18447,18871,19085,19569,20751,21186,21263,21488,21767,22826,22347,23009
Pob_Total_15_anios,34864,35416,35369,36642,37917,39276,38598,38012,37196,36438,36349,36448,37031,37219,36162,36114,36168,36036,33771,32172,29626,27293,26020,24155,22512,21235,20263,19208,18094,17797,17185,16780,16800,16995,16836,16378,16646,17191,17697,17560,18491,19000,19231,19766,20925,21355,21354,21560,22121,23139,22675
Pob_Total_16_anios,34365,34923,35390,35480,36691,38056,39321,38414,37783,37008,36268,36190,36258,36887,37063,35971,35915,36098,36020,33814,32221,29651,27342,26078,24169,22529,21227,20320,19429,18303,18031,17397,17006,17143,17277,16984,16498,16711,17338,17722,17639,18608,19174,19457,20026,21206,21509,21489,21943,22487,23472
Pob_Total_17_anios,33360,34468,34978,35363,35586,36740,38188,39121,38183,37550,36808,36094,36027,36074,36734,36898,35774,35856,36058,36004,33862,32263,29682,27388,26138,24182,22530,21251,20559,19700,18590,18332,17781,17350,17509,17567,17179,16671,16851,17443,17881,17787,18846,19430,19844,20429,21406,21700,21985,22478,23062
Pob_Total_18_anios,31565,33513,34573,35032,35328,35687,36787,37969,38867,37941,37325,36611,35905,35864,35896,36580,36732,35674,35824,36016,35989,33909,32305,29709,27432,26195,24190,22581,21516,20811,19977,18922,18702,18191,17724,17734,17778,17365,16844,16918,17628,18090,18017,19180,19842,20305,20647,21709,22334,22576,23151
Pob_Total_19_anios,30631,31777,33673,34661,35084,35300,35794,36575,37673,38603,37686,37092,36419,35716,35694,35702,36423,36583,35599,35781,35971,35958,33953,32356,29737,27480,26250,24249,22873,21837,21164,20376,19394,19248,18554,17881,17775,17830,17397,16835,17044,17824,18341,18328,19601,20376,20545,20970,22408,22932,23237
Pob_Total_20_anios,29387,30815,31987,33825,34753,35141,35268,35611,36300,37373,38333,37441,36849,36217,35533,35517,35498,36277,36437,35516,35745,35928,35935,33989,32397,29760,27530,26365,24631,23298,22275,21620,20877,19963,19657,18728,18067,17846,17770,17405,16930,17209,18068,18712,18733,20187,20674,20818,21602,23031,23569
Pob_Total_21_anios,29540,29605,31006,32196,33973,34854,35201,35159,35387,36038,37066,38068,37193,36614,36020,35336,35343,35320,36131,36304,35432,35709,35876,35905,34027,32437,29779,27636,26791,25123,23826,22740,22221,21506,20461,19856,18870,18086,17887,17728,17530,17162,17493,18499,19240,19339,20417,20820,21421,22177,23751
Pob_Total_22_anios,29652,29843,29824,31186,32408,34118,34936,35121,35037,35149,35766,36755,37801,36945,36370,35822,35146,35198,35157,35995,36165,35357,35670,35829,35872,34061,32475,29839,28135,27260,25598,24377,23345,22872,22056,20721,20044,18959,18147,17860,17898,17778,17498,17923,19065,19873,19686,20672,21606,22144,23035
Pob_Total_23_anios,28082,29929,30140,30036,31374,32610,34262,34783,35011,34918,34911,35496,36442,37526,36687,36118,35593,34992,35060,34996,35865,36022,35271,35631,35778,35840,34097,32551,30335,28635,27761,26068,25002,23973,23412,22329,20900,20175,19000,18210,17990,18203,18142,17965,18537,19823,20249,19946,21423,22394,23000
Pob_Total_24_anios,28846,28383,30190,30440,30247,31563,32812,34174,34589,34899,34781,34674,35224,36120,37253,36430,35874,35445,34848,34922,34850,35731,35886,35195,35593,35733,35814,34171,32997,30860,29198,28276,26631,25694,24491,23608,22463,21017,20211,19018,18415,18229,18580,18598,18597,19380,20215,20562,20633,22171,23426
Pob_Total_25_anios,29889,29118,28677,30468,30725,30458,31736,32728,34038,34390,34795,34660,34436,34945,35805,36978,36166,35711,35300,34705,34788,34689,35596,35745,35113,35561,35691,35773,34595,33461,31301,29743,28886,27242,26219,24671,23671,22506,20967,20235,19153,18630,18605,19116,19333,19318,19830,20452,21262,21389,23082
