Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Pob_Hombres_21_anios,14987,14804,15591,16325,17287,17422,17397,17154,17812,18127,18782,19302,18908,18688,18517,18171,18065,17997,18554,18744,18283,18243,18330,18362,17602,16610,15176,14144,13686,12918,12214,11712,11418,11146,10495,10095,9635,9262,9203,9057,8937,8764,9068,9422,9946,9986,10417,10909,11208,11445,12331
Pob_Hombres_22_anios,15212,15127,14928,15678,16422,17343,17474,17376,17136,17685,17990,18619,19159,18775,18562,18404,18066,17991,17918,18480,18676,18253,18232,18309,18350,17624,16623,15221,14433,13967,13159,12484,11971,11745,11386,10572,10126,9618,9205,9111,9144,9050,8904,9261,9647,10238,10151,10552,11290,11555,11922
Pob_Hombres_23_anios,14262,15339,15264,15047,15767,16511,17402,17396,17348,17119,17559,17854,18458,19010,18629,18427,18270,17982,17921,17837,18412,18606,18219,18219,18279,18334,17650,16674,15531,14717,14228,13403,12813,12292,12002,11500,10626,10126,9610,9212,9128,9270,9210,9099,9543,10020,10390,10301,10927,11654,12015
Pob_Hombres_24_anios,14371,14415,15454,15401,15166,15859,16597,17341,17298,17322,17091,17434,17723,18288,18863,18492,18300,18175,17901,17855,17768,18345,18538,18191,18207,18261,18326,17708,16966,15830,15065,14507,13688,13185,12591,12090,11489,10659,10069,9573,9303,9248,9440,9410,9424,9928,10209,10554,10671,11348,12230
Pob_Hombres_25_anios,14971,14548,14567,15587,15530,15284,15940,16547,17254,17197,17304,17072,17312,17590,18117,18715,18347,18204,18088,17824,17793,17690,18273,18471,18161,18204,18240,18333,18002,17226,16079,15389,14816,14014,13480,12656,12051,11527,10596,10085,9622,9403,9441,9696,9747,9791,10140,10357,10921,11021,11831
Pob_Hombres_26_anios,15328,15156,14732,14724,15706,15666,15401,15883,16472,17165,17099,17274,17060,17177,17444,17950,18557,18247,18124,18010,17747,17724,17623,18205,18403,18134,18186,18251,18638,18219,17498,16330,15617,15141,14295,13460,12618,12012,11410,10509,10130,9689,9542,9659,10016,10141,10030,10236,10746,11305,11501
Pob_Hombres_27_anios,14841,15586,15348,14920,14874,15830,15799,15366,15795,16393,17080,16999,17247,17037,17048,17309,17776,18477,18151,18045,17930,17656,17650,17552,18136,18333,18107,18181,18468,18863,18465,17705,16579,15961,15385,14345,13398,12542,11848,11291,10559,10212,9839,9774,9975,10433,10317,10178,10529,11161,11694
Pob_Hombres_28_anios,14760,14975,15847,15536,15108,15020,15956,15747,15289,15711,16313,16984,16901,17227,17012,16907,17165,17696,18405,18064,17963,17837,17572,17581,17470,18060,18258,18102,18416,18617,19008,18702,17912,16852,16246,15364,14313,13320,12450,11748,11319,10522,10346,10088,10104,10315,10644,10378,10533,10919,11644
Pob_Hombres_29_anios,15130,14861,15111,16096,15721,15294,15174,15898,15657,15210,15628,16230,16890,16806,17194,16988,16772,17089,17622,18345,17968,17890,17764,17495,17513,17389,17992,18185,18279,18585,18807,19185,18828,18142,16994,16214,15246,14226,13126,12219,11719,11325,10619,10513,10303,10423,10469,10706,10735,10874,11341
Pob_Hombres_30_anios,14754,15223,14961,15248,16350,15910,15487,15109,15807,15567,15134,15539,16146,16805,16704,17165,16961,16712,17022,17557,18284,17872,17808,17688,17424,17451,17321,17948,18361,18432,18748,18953,19332,19052,18315,16913,16145,15101,14069,13006,12184,11764,11414,10774,10796,10591,10654,10516,11004,10956,11289
Pob_Hombres_31_anios,14405,14822,15326,15060,15383,16609,16091,15421,14998,15713,15476,15057,15447,16061,16698,16585,17122,16912,16681,16971,17488,18204,17770,17725,17612,17343,17386,17254,18109,18494,18512,18826,19129,19586,19227,18317,16903,15952,14927,13828,12900,12207,11859,11600,11034,11080,10789,10630,10755,11349,11346
Pob_Hombres_32_anios,12724,14451,14884,15427,15154,15518,16868,16023,15315,14885,15623,15384,14973,15355,15984,16604,16473,17084,16861,16635,16913,17411,18123,17685,17634,17547,17266,17322,17444,18251,18613,18644,18932,19328,19666,19107,18295,16742,15726,14741,13792,12906,12296,12004,11791,11388,11288,10798,10915,11012,11711
Pob_Hombres_33_anios,12255,12751,14509,14948,15531,15251,15650,16790,15913,15210,14779,15527,15297,14891,15261,15899,16497,16427,17059,16799,16601,16850,17332,18062,17598,17565,17470,17213,17451,17579,18310,18708,18778,19106,19477,19570,19006,18064,16478,15522,14682,13755,12989,12444,12215,12097,11545,11287,11089,11228,11354
Pob_Hombres_34_anios,14033,12259,12775,14559,15013,15638,15347,15576,16656,15795,15097,14669,15431,15198,14816,15173,15818,16463,16399,17033,16752,16554,16785,17276,18012,17520,17499,17415,17325,17498,17743,18422,18829,18933,19228,19417,19447,18800,17783,16282,15440,14620,13844,13094,12694,12471,12240,11554,11527,11271,11488
Pob_Hombres_35_anios,10401,13996,12266,12802,14616,15087,15747,15268,15464,16522,15681,14983,14564,15328,15112,14730,15078,15785,16437,16362,16997,16707,16494,16737,17227,17963,17431,17428,17509,17428,17594,17831,18495,18968,18990,19146,19258,19305,18641,17535,16219,15437,14632,13982,13253,12924,12583,12206,11718,11818,11528
Pob_Hombres_36_anios,11504,10395,13967,12269,12819,14665,15150,15677,15150,15357,16380,15559,14866,14456,15231,15018,14645,15050,15733,16412,16330,16963,16662,16471,16698,17183,17902,17373,17511,17601,17536,17649,17930,18616,19088,18898,19047,19129,19113,18409,17473,16255,15520,14770,14204,13490,13096,12577,12372,11913,12084
Pob_Hombres_37_anios,12777,11473,10383,13941,12274,12838,14709,15064,15560,15029,15239,16247,15438,14748,14342,15132,14909,14614,15033,15704,16379,16295,16927,16626,16441,16662,17133,17846,17470,17556,17753,17633,17695,18039,18722,19001,18833,18937,18903,18912,18345,17516,16295,15652,14943,14408,13615,13048,12839,12567,12158
Pob_Hombres_38_anios,14491,12754,11454,10373,13906,12276,12857,14619,14946,15435,14914,15117,16106,15321,14630,14229,15028,14866,14591,15017,15662,16345,16262,16897,16598,16419,16617,17091,17939,17553,17649,17861,17698,17842,18177,18590,18922,18642,18768,18704,18801,18367,17553,16356,15833,15141,14557,13647,13188,12996,12839
Pob_Hombres_39_anios,14254,14476,12726,11433,10358,13874,12268,12770,14501,14827,15321,14792,14991,15953,15196,14508,14106,14980,14840,14554,15001,15638,16308,16233,16880,16566,16392,16580,17147,18000,17621,17691,17930,17878,17926,18110,18566,18862,18462,18606,18669,18790,18346,17599,16514,16028,15266,14483,13818,13377,13148
Pob_Hombres_40_anios,14500,14268,14472,12701,11401,10336,13829,12194,12662,14385,14707,15204,14667,14870,15801,15064,14385,14059,14936,14812,14522,14966,15602,16283,16216,16860,16529,16389,16608,17201,18077,17687,17734,18059,17934,17891,18025,18415,18674,18346,18537,18673,18840,18405,17712,16700,16119,15272,14627,14000,13572
Pob_Hombres_41_anios,15331,14494,14274,14449,12675,11378,10316,13731,12101,12566,14262,14584,15087,14541,14745,15653,14939,14342,14028,14901,14775,14480,14949,15567,16254,16198,16839,16517,16402,16644,17244,18132,17721,17723,18151,17885,17830,17933,18278,18568,18254,18527,18707,18843,18514,17872,16785,16042,15343,14719,14131
Pob_Hombres_42_anios,15164,15292,14473,14272,14420,12656,11341,10230,13622,12002,12453,14137,14463,14969,14406,14613,15499,14896,14313,13993,14864,14741,14440,14926,15527,16221,16168,16837,16544,16418,16695,17234,18202,17782,17751,18147,17848,17775,17751,18100,18512,18273,18531,18759,18942,18653,17958,16747,16169,15481,14895
Pob_Hombres_43_anios,14755,15108,15253,14444,14260,14378,12617,11256,10151,13509,11908,12349,14016,14330,14852,14267,14469,15442,14864,14282,13951,14819,14705,14406,14915,15495,16195,16169,16877,16558,16491,16724,17229,18237,17821,17738,18080,17724,17597,17638,18066,18514,18298,18527,18817,19038,18697,17886,16751,16250,15620
Pob_Hombres_44_anios,14900,14734,15053,15202,14419,14266,14338,12522,11157,10048,13396,11808,12231,13886,14198,14721,14132,14426,15398,14831,14245,13907,14770,14662,14374,14898,15453,16187,16195,16851,16591,16504,16747,17256,18285,17784,17687,17978,17557,17476,17605,18032,18465,18323,18571,18875,19117,18612,17993,16826,16372
Pob_Hombres_45_anios,13704,14809,14718,14983,15138,14397,14246,14228,12410,11067,9940,13301,11701,12116,13764,14067,14584,14070,14378,15355,14793,14203,13867,14723,14624,14319,14871,15411,16188,16185,16895,16627,16507,16793,17270,18239,17693,17558,17820,17404,17440,17592,18028,18446,18400,18632,18933,19071,18643,17966,16906
Pob_Hombres_46_anios,13955,13697,14712,14698,14914,15068,14377,14153,14093,12290,10965,9848,13189,11596,11985,13625,13929,14511,14031,14324,15299,14754,14168,13822,14668,14585,14283,14873,15422,16175,16204,16904,16643,16545,16787,17204,18117,17564,17391,17626,17409,17426,17583,18067,18456,18478,18666,18808,19093,18708,18047
Pob_Hombres_47_anios,13234,13906,13663,14624,14674,14837,15027,14279,14038,13970,12168,10853,9749,13068,11487,11881,13490,13857,14447,13992,14284,15245,14717,14115,13779,14607,14540,14232,14877,15417,16150,16186,16884,16676,16543,16672,17113,18004,17423,17284,17582,17382,17413,17602,18080,18531,18509,18555,18860,19121,18759
Pob_Hombres_48_anios,13155,13166,13858,13638,14519,14642,14776,14902,14144,13907,13825,12062,10731,9648,12941,11364,11757,13426,13814,14378,13930,14232,15180,14652,14080,13736,14545,14500,14226,14851,15390,16132,16189,16891,16688,16473,16638,17032,17851,17280,17197,17544,17351,17375,17617,18157,18519,18408,18606,18878,19176
Pob_Hombres_49_anios,12166,13098,13083,13808,13602,14404,14613,14658,14757,14011,13768,13677,11940,10626,9551,12795,11252,11668,13353,13765,14305,13882,14172,15109,14598,14022,13672,14506,14434,14199,14838,15368,16096,16190,16900,16630,16383,16552,16963,17736,17169,17130,17503,17309,17380,17698,18158,18419,18385,18610,18877
Pob_Hombres_50_anios,12091,12108,13000,12995,13728,13558,14290,14481,14530,14609,13869,13641,13519,11820,10512,9447,12664,11172,11607,13289,13697,14214,13819,14100,15060,14542,13970,13620,14444,14398,14167,14815,15339,16087,16151,16832,16523,16302,16434,16852,17674,17149,17112,17479,17297,17409,17676,18070,18403,18349,18633
Pob_Hombres_51_anios,11475,11963,12032,12910,12913,13635,13503,14140,14332,14386,14449,13725,13506,13351,11684,10395,9340,12563,11099,11557,13225,13630,14138,13769,14024,14994,14475,13924,13570,14410,14368,14158,14744,15320,16063,16070,16747,16447,16181,16290,16808,17574,17119,17074,17470,17270,17396,17617,18059,18424,18336
Pob_Hombres_52_anios,10963,11395,11833,11963,12826,12794,13567,13366,13981,14158,14247,14289,13564,13362,13201,11557,10277,9265,12451,11022,11494,13145,13571,14061,13709,13969,14924,14425,13856,13530,14351,14308,14121,14707,15273,15991,15947,16608,16300,16047,16220,16736,17538,17078,17099,17465,17239,17304,17568,18016,18406
Pob_Hombres_53_anios,10497,10860,11311,11697,11883,12733,12694,13382,13224,13823,13981,14090,14114,13398,13216,13043,11394,10181,9201,12374,10927,11434,13055,13517,13979,13650,13885,14849,14342,13789,13449,14277,14280,14058,14646,15197,15904,15888,16501,16182,15983,16155,16655,17477,17065,17044,17417,17129,17276,17530,18035
Pob_Hombres_54_anios,9811,10400,10748,11220,11580,11799,12657,12530,13209,13062,13658,13790,13918,13929,13239,13064,12886,11261,10111,9112,12267,10845,11354,12987,13436,13893,13576,13792,14787,14262,13693,13368,14223,14225,13995,14534,15101,15775,15727,16339,16057,15918,16097,16572,17413,17033,16991,17334,17055,17252,17489
Pob_Hombres_55_anios,7993,9701,10272,10622,11132,11441,11694,12478,12356,13034,12898,13467,13590,13754,13763,13071,12902,12720,11146,10016,9040,12152,10763,11268,12899,13349,13786,13486,13699,14717,14190,13585,13290,14171,14110,13946,14439,15001,15669,15582,16233,15980,15842,16037,16501,17367,16974,16898,17260,17020,17232
Pob_Hombres_56_anios,7920,7890,9560,10160,10516,11031,11279,11535,12302,12179,12819,12716,13270,13404,13577,13536,12907,12752,12580,11024,9932,8942,12027,10691,11184,12796,13247,13666,13407,13596,14595,14094,13465,13189,14082,13985,13832,14325,14889,15512,15479,16153,15910,15767,15988,16446,17329,16897,16843,17191,16970
Pob_Hombres_57_anios,7721,7803,7802,9417,10042,10406,10918,11114,11382,12113,11969,12618,12525,13087,13205,13398,13355,12741,12591,12417,10898,9835,8861,11910,10573,11086,12688,13155,13557,13333,13510,14478,13987,13369,13114,13968,13880,13661,14206,14754,15413,15413,16058,15821,15712,15923,16369,17221,16837,16795,17117
Pob_Hombres_58_anios,7009,7587,7673,7697,9277,9903,10284,10747,10918,11184,11907,11767,12409,12335,12886,12990,13204,13166,12584,12410,12255,10753,9729,8759,11805,10458,10990,12564,13051,13417,13202,13390,14348,13862,13264,13013,13834,13744,13565,14052,14674,15285,15309,15959,15736,15665,15842,16315,17139,16762,16703
Pob_Hombres_59_anios,7167,6928,7435,7537,7592,9138,9785,10079,10549,10716,10987,11705,11556,12194,12121,12677,12777,13020,12972,12414,12221,12081,10622,9624,8652,11688,10346,10867,12416,12903,13283,13094,13234,14251,13763,13139,12892,13697,13617,13469,13920,14571,15189,15224,15841,15653,15558,15681,16188,17030,16669
Pob_Hombres_60_anios,7141,7046,6852,7300,7394,7489,8973,9585,9868,10332,10493,10785,11499,11362,11981,11903,12471,12558,12837,12780,12238,12063,11885,10491,9524,8555,11537,10222,10726,12243,12751,13083,12949,13079,14085,13614,13011,12761,13550,13460,13322,13789,14479,15111,15162,15719,15558,15441,15592,16125,16939
Pob_Hombres_61_anios,7102,6992,6889,6755,7151,7227,7390,8774,9355,9658,10115,10274,10560,11281,11134,11746,11697,12275,12349,12632,12582,12067,11871,11713,10332,9412,8458,11370,10060,10574,12064,12555,12883,12771,12920,13915,13425,12874,12572,13402,13345,13194,13651,14367,15010,15044,15582,15398,15330,15503,16032
Pob_Hombres_62_anios,6840,6939,6840,6773,6659,6993,7083,7239,8586,9156,9445,9895,10054,10349,11068,10930,11495,11506,12043,12135,12412,12371,11882,11685,11529,10175,9265,8338,11163,9926,10412,11903,12383,12699,12601,12761,13747,13280,12727,12408,13244,13211,13046,13527,14261,14870,14892,15456,15241,15200,15370
Pob_Hombres_63_anios,6366,6671,6741,6679,6622,6555,6820,6907,7087,8398,8937,9231,9630,9827,10143,10826,10717,11251,11290,11825,11914,12185,12145,11686,11474,11335,10000,9121,8185,10981,9769,10268,11736,12206,12545,12418,12591,13585,13103,12571,12250,13110,13062,12919,13422,14131,14722,14746,15297,15141,15076
Pob_Hombres_64_anios,6290,6225,6512,6553,6520,6491,6455,6673,6727,6929,8166,8708,8996,9372,9613,9912,10584,10490,11067,11081,11605,11706,11950,11933,11473,11277,11120,9812,8959,8054,10790,9624,10104,11568,12063,12373,12236,12434,13405,12930,12420,12116,12958,12944,12774,13299,13960,14525,14579,15140,15020
Pob_Hombres_65_anios,5844,6113,6093,6330,6333,6341,6314,6289,6522,6545,6728,7949,8487,8752,9114,9377,9675,10355,10284,10877,10849,11365,11455,11718,11675,11275,11065,10916,9601,8796,7917,10592,9436,9934,11396,11883,12166,12075,12240,13197,12776,12249,11954,12792,12772,12633,13100,13733,14306,14399,14967
Pob_Hombres_66_anios,5885,5704,5942,5933,6162,6120,6176,6149,6132,6344,6361,6558,7717,8256,8500,8854,9139,9475,10137,10066,10644,10617,11108,11214,11495,11423,11072,10830,10693,9408,8616,7764,10387,9245,9785,11208,11678,11976,11918,12057,13010,12601,12074,11772,12636,12612,12441,12888,13503,14162,14264
Pob_Hombres_67_anios,5326,5702,5527,5712,5770,5987,5932,5995,5976,5964,6165,6171,6336,7466,8001,8267,8575,8901,9255,9895,9836,10398,10356,10855,10965,11221,11200,10849,10607,10449,9221,8473,7606,10206,9099,9615,11031,11517,11789,11721,11847,12806,12422,11880,11621,12468,12391,12262,12699,13363,13983
Pob_Hombres_68_anios,5192,5154,5496,5338,5504,5588,5781,5764,5820,5775,5776,5974,5968,6120,7210,7745,7997,8335,8695,9004,9634,9608,10133,10094,10605,10710,10942,10945,10606,10358,10252,9048,8331,7444,10019,8935,9457,10841,11310,11597,11531,11647,12610,12237,11645,11464,12254,12180,12039,12516,13189
Pob_Hombres_69_anios,4968,5023,4990,5286,5146,5287,5430,5599,5589,5645,5580,5584,5779,5763,5925,6943,7486,7758,8099,8454,8783,9383,9353,9871,9828,10339,10440,10652,10692,10366,10131,10038,8871,8178,7293,9836,8787,9286,10661,11084,11422,11350,11409,12401,12056,11455,11282,12030,11973,11865,12354
Pob_Hombres_70_anios,4647,4756,4802,4780,5103,4973,5101,5239,5414,5408,5441,5392,5389,5562,5532,5707,6684,7238,7535,7862,8198,8527,9080,9071,9573,9575,10044,10118,10360,10435,10146,9894,9821,8685,8010,7153,9662,8621,9104,10480,10887,11197,11147,11240,12195,11854,11224,11056,11830,11789,11693
Pob_Hombres_71_anios,4306,4428,4514,4591,4587,4883,4803,4895,5041,5212,5220,5238,5179,5195,5354,5296,5489,6425,7006,7289,7615,7936,8219,8803,8787,9306,9280,9726,9844,10069,10151,9901,9661,9606,8493,7843,7004,9463,8464,8912,10266,10662,10968,10919,11035,11979,11625,11001,10851,11603,11596
Pob_Hombres_72_anios,3964,4103,4169,4254,4375,4384,4662,4615,4675,4825,5006,5009,5047,4952,4988,5163,5068,5276,6194,6745,7059,7344,7666,7928,8482,8494,8986,8999,9409,9568,9773,9866,9626,9380,9329,8311,7649,6855,9254,8270,8726,10057,10430,10740,10703,10791,11707,11378,10725,10644,11458
Pob_Hombres_73_anios,3442,3738,3886,3949,4015,4195,4176,4405,4408,4471,4592,4773,4777,4832,4733,4756,4909,4842,5079,5959,6473,6809,7058,7380,7615,8148,8183,8655,8714,9107,9299,9467,9589,9372,9128,9074,8097,7466,6672,9035,8076,8541,9838,10226,10518,10482,10538,11418,11128,10530,10436
Pob_Hombres_74_anios,3324,3235,3505,3681,3722,3793,3989,3977,4172,4177,4240,4352,4545,4559,4604,4493,4526,4711,4635,4875,5702,6193,6531,6749,7066,7305,7829,7873,8348,8380,8818,8950,9167,9299,9117,8846,8813,7878,7266,6512,8770,7875,8339,9605,10005,10262,10238,10276,11116,10887,10336
Pob_Hombres_75_anios,2491,3084,3036,3267,3462,3481,3542,3777,3760,3960,3966,4004,4131,4325,4324,4395,4273,4298,4481,4445,4676,5428,5913,6241,6463,6749,6976,7497,7544,8023,8079,8462,8663,8845,8969,8833,8592,8552,7638,7045,6336,8520,7653,8137,9331,9726,9941,10014,10005,10823,10595
Pob_Hombres_76_anios,2491,2327,2856,2848,3040,3247,3224,3316,3554,3523,3723,3720,3810,3887,4100,4088,4183,4043,4099,4226,4232,4433,5177,5618,5938,6161,6448,6638,7176,7221,7722,7797,8141,8355,8549,8662,8527,8342,8259,7387,6800,6149,8275,7426,7900,9080,9418,9610,9707,9708,10534
Pob_Hombres_77_anios,2110,2264,2139,2655,2684,2808,3022,3015,3114,3293,3298,3469,3470,3595,3642,3858,3825,3930,3804,3874,3994,3982,4208,4887,5317,5622,5855,6104,6351,6813,6882,7363,7462,7814,8026,8218,8307,8209,8020,7975,7109,6577,5958,8014,7192,7652,8749,9130,9289,9423,9419
Pob_Hombres_78_anios,2114,1922,2060,1951,2422,2499,2567,2799,2780,2881,3057,3044,3243,3234,3327,3410,3588,3581,3652,3550,3625,3750,3727,3945,4592,4981,5307,5545,5770,6023,6473,6513,7014,7124,7422,7637,7835,7946,7838,7705,7648,6824,6309,5733,7753,6954,7360,8410,8788,8976,9147
Pob_Hombres_79_anios,1692,1899,1757,1894,1790,2209,2299,2314,2541,2561,2665,2806,2826,2984,3025,3118,3144,3366,3357,3404,3323,3379,3518,3514,3690,4262,4643,4994,5222,5441,5653,6065,6129,6650,6743,7085,7317,7495,7587,7484,7384,7304,6556,6066,5493,7463,6646,7023,8083,8453,8639
Pob_Hombres_80_anios,1472,1507,1702,1568,1709,1633,2024,2061,2095,2292,2343,2415,2554,2579,2735,2786,2860,2907,3120,3099,3144,3068,3139,3264,3261,3397,3956,4345,4678,4880,5091,5294,5668,5763,6257,6360,6708,6903,7159,7216,7133,7053,6947,6273,5777,5254,7086,6352,6705,7753,8116
Pob_Hombres_81_anios,1277,1287,1360,1526,1386,1548,1474,1827,1839,1887,2094,2112,2200,2323,2334,2490,2539,2592,2670,2833,2843,2886,2819,2907,3012,2992,3150,3644,4019,4355,4520,4689,4898,5307,5402,5877,5993,6276,6525,6777,6854,6733,6690,6570,5945,5501,4951,6665,6050,6378,7367
Pob_Hombres_82_anios,1090,1105,1142,1199,1369,1230,1372,1322,1614,1649,1679,1847,1911,1993,2105,2094,2235,2308,2334,2395,2574,2595,2638,2577,2660,2736,2726,2898,3329,3689,4041,4172,4364,4551,4933,4992,5467,5595,5878,6132,6345,6426,6345,6311,6143,5591,5153,4670,6325,5712,6062
Pob_Hombres_83_anios,770,937,951,1008,1055,1211,1078,1215,1171,1422,1451,1484,1671,1715,1792,1878,1847,2003,2056,2133,2150,2325,2328,2367,2318,2385,2462,2493,2614,3026,3357,3672,3838,4008,4185,4554,4587,5087,5201,5493,5710,5895,5995,5935,5925,5761,5226,4831,4321,5920,5362
Pob_Hombres_84_anios,737,646,788,820,878,937,1040,926,1052,1030,1264,1256,1308,1473,1509,1591,1683,1626,1786,1823,1911,1953,2094,2076,2123,2063,2145,2223,2222,2354,2762,3010,3358,3505,3655,3839,4170,4195,4708,4795,5059,5277,5449,5587,5517,5510,5321,4869,4493,4042,5525
Pob_Hombres_85_y_mas_anios,2952,2922,2892,2934,3043,3175,3311,3538,3709,3831,4002,4309,4574,4938,5308,5748,6178,6591,6897,7262,7614,7932,8269,8661,8962,9181,9433,9763,10016,10182,10590,11132,12073,13166,14266,15264,16391,17750,18784,20316,21761,22976,24358,25654,26965,28217,28824,29214,29062,28986,28575
Pob_Mujeres_Total,1004537,1018843,1033834,1047362,1059466,1069911,1078973,1082806,1084842,1085734,1085835,1084881,1083204,1081107,1078499,1075295,1071133,1070331,1070278,1069976,1069444,1068418,1067481,1066867,1065689,1064983,1064611,1064580,1068844,1073442,1079129,1085703,1093702,1101532,1108659,1112344,1115743,1118541,1117443,1115328,1116212,1117377,1120850,1124678,1129395,1136748,1136646,1133335,1138798,1144196,1150625
Pob_Mujeres_0anios,19281,18736,19349,18034,16738,15342,13949,13217,12182,11465,10633,10074,9452,8830,8719,8171,7818,7811,7825,7670,7411,7374,7812,7838,7735,8248,8388,8641,8933,9300,9527,9667,9762,10022,10402,10110,10462,10537,9749,9241,9453,9107,8911,8270,7847,7550,7148,6874,6631,6578,6413
Pob_Mujeres_1anio,18845,19084,18648,19091,17691,16459,15337,13913,13124,12109,11385,10574,10012,9349,8738,8558,8049,7792,7804,7812,7655,7396,7362,7807,7825,7769,8299,8437,8737,9060,9474,9709,9832,9920,10154,10536,10249,10580,10490,9766,9273,9499,9165,9011,8340,7942,7602,7239,6990,6751,6678
Pob_Mujeres_2anios,18939,18716,18938,18591,18855,17381,16211,15264,13828,13049,12050,11322,10527,9966,9260,8661,8396,8039,7807,7804,7803,7647,7388,7359,7806,7818,7807,8364,8545,8820,9148,9582,9833,9928,9997,10227,10658,10380,10505,10439,9807,9331,9562,9232,9083,8397,8002,7575,7266,7064,6886
Pob_Mujeres_3anio,18808,18857,18597,18798,18543,18627,17084,16118,15177,13745,12973,11996,11259,10480,9924,9171,8584,8388,8050,7821,7803,7794,7640,7383,7357,7806,7812,7844,8448,8639,8860,9208,9664,9915,10003,10087,10288,10740,10309,10486,10436,9791,9376,9625,9314,9157,8421,8015,7629,7361,7128
Pob_Mujeres_4_anios,17939,18732,18777,18476,18661,18496,18404,16973,16058,15093,13665,12904,11944,11197,10434,9883,9082,8580,8409,8064,7836,7802,7786,7631,7377,7355,7808,7816,7922,8499,8705,8885,9291,9737,9982,10056,10180,10359,10709,10239,10543,10440,9894,9449,9696,9427,9201,8435,8125,7748,7442
Pob_Mujeres_5_anios,17866,17977,18659,18699,18358,18530,18453,18304,16907,16003,15009,13585,12832,11891,11136,10387,9841,9082,8590,8429,8075,7852,7803,7779,7625,7370,7353,7817,7882,7991,8572,8786,8974,9376,9771,10029,10122,10234,10334,10707,10246,10583,10500,9961,9512,9828,9479,9237,8565,8240,7865
Pob_Mujeres_6_anios,17935,17889,18010,18587,18620,18238,18377,18381,18232,16838,15949,14922,13509,12762,11839,11075,10342,9836,9101,8602,8449,8088,7869,7802,7773,7618,7363,7364,7869,7954,8062,8659,8868,9047,9413,9805,10067,10143,10181,10334,10709,10265,10639,10574,10039,9627,9876,9500,9373,8682,8372
Pob_Mujeres_7_anios,18368,17933,17916,18046,18518,18541,18115,18294,18303,18162,16766,15893,14830,13432,12691,11787,11013,10327,9836,9120,8615,8471,8101,7885,7803,7765,7611,7371,7414,7920,8023,8158,8788,8960,9075,9454,9855,10101,10119,10158,10363,10692,10289,10710,10605,10154,9675,9918,9641,9465,8815
Pob_Mujeres_8_anios,18416,18336,17932,17938,18087,18451,18468,18033,18219,18226,18089,16696,15838,14747,13355,12622,11735,11001,10316,9839,9138,8626,8493,8115,7899,7804,7757,7611,7441,7486,8006,8099,8246,8870,9034,9094,9517,9899,10101,10103,10176,10366,10704,10315,10761,10722,10189,9708,10070,9727,9599
Pob_Mujeres_9_anios,18900,18461,18307,17928,17959,18129,18380,18399,17959,18144,18151,18017,16624,15785,14658,13279,12552,11733,11000,10306,9842,9157,8636,8515,8127,7915,7804,7756,7673,7504,7555,8095,8210,8312,8915,9045,9097,9519,9887,10095,10100,10186,10383,10739,10337,10836,10741,10227,9850,10191,9825
Pob_Mujeres_10_anios,19219,18911,18510,18278,17926,17981,18171,18312,18332,17886,18068,18071,17948,16553,15731,14575,13202,12566,11741,10998,10296,9842,9175,8648,8537,8141,7928,7804,7817,7736,7564,7622,8211,8314,8374,8969,9098,9111,9520,9879,10107,10117,10225,10424,10750,10415,10875,10770,10393,9982,10305
Pob_Mujeres_11_anios,18355,19245,18919,18558,18252,17921,18006,18112,18246,18262,17813,17989,17998,17880,16482,15677,14489,13210,12598,11750,10996,10286,9846,9195,8661,8558,8154,7943,7870,7854,7774,7657,7708,8293,8401,8417,9033,9090,9065,9523,9914,10141,10175,10272,10430,10824,10462,10888,10902,10498,10121
Pob_Mujeres_12_anios,17963,18433,19272,18928,18609,18222,17918,17946,18033,18181,18191,17740,17914,17921,17809,16411,15623,14488,13239,12630,11758,10996,10273,9849,9215,8672,8580,8175,7979,7946,7925,7871,7761,7822,8347,8444,8457,9054,9051,9070,9571,9954,10192,10237,10318,10491,10839,10464,11042,11009,10627
Pob_Mujeres_13_anios,17222,18018,18510,19295,18936,18660,18195,17851,17871,17957,18114,18124,17668,17842,17844,17740,16339,15631,14494,13268,12662,11764,10994,10263,9849,9235,8683,8603,8248,8057,8004,8011,7956,7853,7896,8392,8486,8505,9068,9068,9115,9602,9994,10274,10284,10396,10491,10868,10611,11157,11154
Pob_Mujeres_14_anios,17749,17312,18075,18590,19317,18942,18710,18118,17769,17800,17876,18048,18058,17595,17766,17767,17667,16337,15655,14510,13297,12695,11771,10993,10252,9850,9254,8702,8680,8319,8118,8061,8087,8038,7912,7937,8409,8505,8481,9040,9106,9176,9638,10061,10334,10372,10420,10539,11038,10722,11287
Pob_Mujeres_15_anios,17376,17803,17403,18133,18672,19339,18947,18624,18028,17678,17731,17799,17984,17988,17520,17690,17688,17641,16352,15680,14524,13325,12728,11777,10992,10241,9854,9282,8783,8766,8389,8191,8128,8185,8130,7962,7993,8450,8535,8474,9063,9152,9254,9707,10119,10406,10392,10452,10691,11168,10879
